Template,Fund_Code,Trade_Date,Total_Amount,Number_of_Units,Filename
Manual,K-VIETNAM,2026-04-27,500,-,
Manual,SCBTRAVEL(A),2026-04-27,500,-,
Buy Note,SCBNK225,2026-04-27,500,10.5143,confirmation_note_8882604250002501.pdf
Buy Note,SCBSET50,2026-04-27,500,22.5926,confirmation_note_8882604250002505.pdf
Buy Note,SCBTRAVEL(A),2026-03-25,500,61.1733,confirmation_note_8882603250002231.pdf
Buy Note,K-VIETNAM,2026-03-25,500,35.5616,confirmation_note_8882603250002168.pdf
Buy Note,SCBSET50,2026-03-25,500,22.8102,confirmation_note_8882603250003916.pdf
Buy Note,SCBNK225,2026-03-25,500,11.9123,confirmation_note_8882603250001036.pdf
Buy Note,SCBTRAVEL(A),2026-02-25,500,59.029,confirmation_note_8882602250001121.pdf
Buy Note,SCBSET50,2026-02-25,500,22.0826,confirmation_note_8882602250003452.pdf
Buy Note,K-VIETNAM,2026-02-25,500,33.3976,confirmation_note_8882602250002142.pdf
Buy Note,SCBNK225,2026-02-25,500,10.9534,confirmation_note_8882602250003468.pdf
Buy Note,K-VIETNAM,2026-01-26,500,34.3789,confirmation_note_8882601250002800.pdf
Buy Note,SCBSET50,2026-01-26,500,25.7438,confirmation_note_8882601250002815.pdf
Buy Note,SCBNK225,2026-01-26,500,12.1075,confirmation_note_8882601250002798.pdf
Buy Note,SCBTRAVEL(A),2026-01-26,500,58.8353,confirmation_note_8882601250002814.pdf
Buy Note,SCBTRAVEL(A),2025-12-29,500,57.5228,confirmation_note_8882512250013051.pdf
Buy Note,K-VIETNAM,2025-12-26,500,35.9531,confirmation_note_8882512250011527.pdf
Buy Note,SCBNK225,2025-12-25,500,12.7338,confirmation_note_8882512250000665.pdf
Buy Note,SCBSET50,2025-12-25,500,26.7714,confirmation_note_8882512250000597.pdf
Buy Note,SCBTRAVEL(A),2025-11-25,500,60.0002,confirmation_note_8882511250002743.pdf
Buy Note,K-VIETNAM,2025-11-25,500,35.0201,confirmation_note_8882511250002633.pdf
Buy Note,SCBNK225,2025-11-25,500,13.1155,confirmation_note_8882511250002739.pdf
Buy Note,SCBSET50,2025-11-25,500,27.1002,confirmation_note_8882511250001583.pdf
Buy Note,SCBTRAVEL(A),2025-10-27,500,58.629,confirmation_note_8882510250003547.pdf
Buy Note,SCBSET50,2025-10-27,500,26.1162,confirmation_note_8882510250003163.pdf
Buy Note,SCBNK225,2025-10-27,500,12.6032,confirmation_note_8882510250003114.pdf
Buy Note,K-VIETNAM,2025-10-27,500,34.0309,confirmation_note_8882510250003148.pdf
Buy Note,SCBTRAVEL(A),2025-09-25,500,57.9616,confirmation_note_8882509250002728.pdf
Buy Note,K-VIETNAM,2025-09-25,500,33.3963,confirmation_note_8882509250003057.pdf
Buy Note,SCBSET50,2025-09-25,500,27.0875,confirmation_note_8882509250002904.pdf
Buy Note,SCBNK225,2025-09-25,500,13.9641,confirmation_note_8882509250003329.pdf
Buy Note,SCBTRAVEL(A),2025-08-26,500,57.8884,confirmation_note_8882508250010255.pdf
Buy Note,SCBNK225,2025-08-25,500,14.8424,confirmation_note_8882508250003151.pdf
Buy Note,SCBSET50,2025-08-25,500,27.4422,confirmation_note_8882508250003145.pdf
Buy Note,K-VIETNAM,2025-08-25,500,33.7002,confirmation_note_8882508250001860.pdf
Receipt,SCBTRAVEL(A),2025-07-25,500,57.881,confirmation_note_8882507250002038.pdf
Receipt,SCBNK225,2025-07-25,500,15.3411,confirmation_note_8882507250001983.pdf
Receipt,SCBSET50,2025-07-25,500,28.4864,confirmation_note_8882507250001214.pdf
Receipt,K-VIETNAM,2025-07-25,500,35.9624,confirmation_note_8882507250003055.pdf
Text Body,SCBRMNDQ(A),2025-07-25,1000,72.0321,N/A (Email Body)
Text Body,SCBRMS&P500,2025-07-25,1000,50.7835,N/A (Email Body)
Receipt,SCBTRAVEL(A),2025-07-07,500,59.2199,confirmation_note_8882507050001419.pdf
Receipt,SCBNK225,2025-07-07,500,16.0056,confirmation_note_8882507050001543.pdf
Receipt,SCBSET50,2025-07-07,500,31.1652,confirmation_note_8882507050001785.pdf
